t	Theta RK	Omega RK	u	v	Energy
0.001	0.0999999	9.99666e-08	-0.0001999	0.0001999	0.01
0.002	0.0999996	3.99733e-07	-0.000399599	0.000399599	0.01
0.003	0.0999991	8.99098e-07	-0.000599098	0.000599097	0.01
0.004	0.0999984	1.59786e-06	-0.000798396	0.000798394	0.01
0.005	0.0999975	2.49582e-06	-0.000997492	0.000997488	0.01
0.006	0.0999964	3.59277e-06	-0.00119639	0.00119638	0.01
0.007	0.0999951	4.88851e-06	-0.00139508	0.00139507	0.01
0.008	0.0999936	6.38283e-06	-0.00159357	0.00159355	0.00999999
0.009	0.0999919	8.07554e-06	-0.00179185	0.00179183	0.00999999
0.01	0.09999	9.96642e-06	-0.00198993	0.0019899	0.00999999
0.011	0.0999879	1.20553e-05	-0.00218781	0.00218777	0.00999998
0.012	0.0999857	1.43419e-05	-0.00238549	0.00238543	0.00999998
0.013	0.0999832	1.68261e-05	-0.00258295	0.00258288	0.00999997
0.014	0.0999805	1.95076e-05	-0.00278022	0.00278013	0.00999996
0.015	0.0999776	2.23862e-05	-0.00297728	0.00297717	0.00999996
0.016	0.0999745	2.54618e-05	-0.00317413	0.00317399	0.00999995
0.017	0.0999713	2.87342e-05	-0.00337078	0.00337061	0.00999994
0.018	0.0999678	3.2203e-05	-0.00356722	0.00356702	0.00999992
0.019	0.0999641	3.58681e-05	-0.00376345	0.00376322	0.00999991
0.02	0.0999603	3.97294e-05	-0.00395947	0.00395921	0.00999989
0.021	0.0999562	4.37865e-05	-0.00415529	0.00415499	0.00999988
0.022	0.099952	4.80393e-05	-0.0043509	0.00435055	0.00999986
0.023	0.0999475	5.24875e-05	-0.0045463	0.0045459	0.00999984
0.024	0.0999429	5.7131e-05	-0.00474149	0.00474104	0.00999982
0.025	0.099938	6.19695e-05	-0.00493647	0.00493596	0.0099998
0.026	0.099933	6.70028e-05	-0.00513125	0.00513067	0.00999977
0.027	0.0999278	7.22308e-05	-0.00532581	0.00532516	0.00999974
0.028	0.0999223	7.76531e-05	-0.00552016	0.00551944	0.00999971
0.029	0.0999167	8.32696e-05	-0.0057143	0.0057135	0.00999968
0.03	0.0999109	8.908e-05	-0.00590823	0.00590735	0.00999965
0.031	0.0999049	9.50842e-05	-0.00610195	0.00610097	0.00999961
0.032	0.0998987	0.000101282	-0.00629546	0.00629438	0.00999957
0.033	0.0998923	0.000107673	-0.00648875	0.00648758	0.00999953
0.034	0.0998857	0.000114257	-0.00668184	0.00668055	0.00999949
0.035	0.099879	0.000121034	-0.0068747	0.0068733	0.00999944
0.036	0.099872	0.000128004	-0.00706736	0.00706583	0.00999939
0.037	0.0998648	0.000135166	-0.0072598	0.00725814	0.00999934
0.038	0.0998575	0.00014252	-0.00745203	0.00745023	0.00999929
0.039	0.0998499	0.000150066	-0.00764404	0.0076421	0.00999923
0.04	0.0998422	0.000157804	-0.00783584	0.00783375	0.00999917
0.041	0.0998342	0.000165733	-0.00802742	0.00802517	0.00999911
0.042	0.0998261	0.000173854	-0.00821879	0.00821637	0.00999904
0.043	0.0998178	0.000182166	-0.00840994	0.00840735	0.00999897
0.044	0.0998093	0.000190669	-0.00860088	0.0085981	0.0099989
0.045	0.0998006	0.000199362	-0.0087916	0.00878863	0.00999883
0.046	0.0997917	0.000208246	-0.0089821	0.00897893	0.00999875
0.047	0.0997826	0.00021732	-0.00917238	0.009169	0.00999867
0.048	0.0997734	0.000226584	-0.00936245	0.00935885	0.00999858
0.049	0.0997639	0.000236038	-0.0095523	0.00954847	0.00999849
0.05	0.0997543	0.000245681	-0.00974193	0.00973787	0.0099984
0.051	0.0997444	0.000255513	-0.00993134	0.00992703	0.0099983
0.052	0.0997344	0.000265535	-0.0101205	0.010116	0.0099982
0.053	0.0997242	0.000275745	-0.0103095	0.0103047	0.0099981
0.054	0.0997138	0.000286144	-0.0104983	0.0104932	0.00999799
0.055	0.0997032	0.000296731	-0.0106868	0.0106814	0.00999787
0.056	0.0996924	0.000307507	-0.0108751	0.0108694	0.00999776
0.057	0.0996814	0.00031847	-0.0110632	0.0110572	0.00999764
0.058	0.0996703	0.000329621	-0.0112511	0.0112448	0.00999751
0.059	0.0996589	0.000340959	-0.0114387	0.0114321	0.00999738
0.06	0.0996474	0.000352485	-0.0116261	0.0116192	0.00999725
0.061	0.0996357	0.000364198	-0.0118133	0.011806	0.00999711
0.062	0.0996238	0.000376097	-0.0120003	0.0119926	0.00999697
0.063	0.0996117	0.000388183	-0.0121871	0.012179	0.00999683
0.064	0.0995994	0.000400455	-0.0123736	0.0123652	0.00999668
0.065	0.0995869	0.000412913	-0.0125599	0.0125511	0.00999652
0.066	0.0995743	0.000425557	-0.012746	0.0127368	0.00999636
0.067	0.0995614	0.000438387	-0.0129319	0.0129222	0.0099962
0.068	0.0995484	0.000451401	-0.0131175	0.0131074	0.00999603
0.069	0.0995352	0.000464601	-0.0133029	0.0132924	0.00999585
0.07	0.0995218	0.000477986	-0.0134881	0.0134771	0.00999567
0.071	0.0995082	0.000491555	-0.0136731	0.0136616	0.00999549
0.072	0.0994945	0.000505309	-0.0138578	0.0138459	0.0099953
0.073	0.0994805	0.000519247	-0.0140424	0.0140299	0.0099951
0.074	0.0994664	0.000533369	-0.0142266	0.0142136	0.0099949
0.075	0.0994521	0.000547674	-0.0144107	0.0143972	0.0099947
0.076	0.0994376	0.000562163	-0.0145945	0.0145805	0.00999449
0.077	0.0994229	0.000576835	-0.0147781	0.0147635	0.00999427
0.078	0.099408	0.00059169	-0.0149615	0.0149463	0.00999405
0.079	0.099393	0.000606728	-0.0151447	0.0151289	0.00999382
0.08	0.0993777	0.000621948	-0.0153276	0.0153112	0.00999359
0.081	0.0993623	0.00063735	-0.0155103	0.0154933	0.00999335
0.082	0.0993467	0.000652934	-0.0156927	0.0156751	0.00999311
0.083	0.0993309	0.0006687	-0.015875	0.0158567	0.00999286
0.084	0.099315	0.000684648	-0.016057	0.0160381	0.00999261
0.085	0.0992988	0.000700776	-0.0162387	0.0162192	0.00999235
0.086	0.0992825	0.000717086	-0.0164203	0.0164	0.00999208
0.087	0.099266	0.000733576	-0.0166016	0.0165806	0.00999181
0.088	0.0992493	0.000750247	-0.0167827	0.016761	0.00999153
0.089	0.0992324	0.000767098	-0.0169635	0.0169411	0.00999124
0.09	0.0992153	0.000784129	-0.0171442	0.017121	0.00999095
0.091	0.0991981	0.00080134	-0.0173245	0.0173006	0.00999066
0.092	0.0991807	0.00081873	-0.0175047	0.0174799	0.00999035
0.093	0.0991631	0.0008363	-0.0176846	0.0176591	0.00999004
0.094	0.0991453	0.000854048	-0.0178643	0.0178379	0.00998973
0.095	0.0991274	0.000871975	-0.0180438	0.0180165	0.0099894
0.096	0.0991092	0.000890081	-0.018223	0.0181949	0.00998908
0.097	0.0990909	0.000908365	-0.018402	0.018373	0.00998874
0.098	0.0990724	0.000926827	-0.0185807	0.0185509	0.0099884
0.099	0.0990538	0.000945467	-0.0187592	0.0187285	0.00998805
0.1	0.0990349	0.000964284	-0.0189375	0.0189059	0.0099877
0.101	0.0990159	0.000983279	-0.0191156	0.019083	0.00998733
0.102	0.0989967	0.00100245	-0.0192934	0.0192598	0.00998696
0.103	0.0989773	0.0010218	-0.019471	0.0194364	0.00998659
0.104	0.0989577	0.00104132	-0.0196483	0.0196128	0.00998621
0.105	0.098938	0.00106102	-0.0198254	0.0197889	0.00998582
0.106	0.0989181	0.0010809	-0.0200023	0.0199647	0.00998542
0.107	0.098898	0.00110095	-0.0201789	0.0201403	0.00998502
0.108	0.0988777	0.00112118	-0.0203553	0.0203156	0.00998461
0.109	0.0988573	0.00114158	-0.0205315	0.0204907	0.00998419
0.11	0.0988367	0.00116216	-0.0207074	0.0206655	0.00998376
0.111	0.0988159	0.00118292	-0.0208831	0.0208401	0.00998333
0.112	0.0987949	0.00120384	-0.0210585	0.0210144	0.00998289
0.113	0.0987738	0.00122494	-0.0212338	0.0211884	0.00998244
0.114	0.0987524	0.00124622	-0.0214087	0.0213622	0.00998199
0.115	0.0987309	0.00126767	-0.0215835	0.0215357	0.00998153
0.116	0.0987093	0.00128929	-0.0217579	0.021709	0.00998106
0.117	0.0986874	0.00131109	-0.0219322	0.021882	0.00998058
0.118	0.0986654	0.00133305	-0.0221062	0.0220547	0.00998009
0.119	0.0986432	0.0013552	-0.02228	0.0222272	0.0099796
0.12	0.0986208	0.00137751	-0.0224535	0.0223994	0.0099791
0.121	0.0985983	0.00139999	-0.0226268	0.0225714	0.00997859
0.122	0.0985756	0.00142265	-0.0227998	0.022743	0.00997808
0.123	0.0985527	0.00144548	-0.0229727	0.0229145	0.00997755
0.124	0.0985296	0.00146848	-0.0231452	0.0230856	0.00997702
0.125	0.0985064	0.00149165	-0.0233175	0.0232566	0.00997648
0.126	0.098483	0.00151499	-0.0234896	0.0234272	0.00997593
0.127	0.0984594	0.00153851	-0.0236615	0.0235976	0.00997538
0.128	0.0984357	0.00156219	-0.0238331	0.0237677	0.00997482
0.129	0.0984118	0.00158604	-0.0240044	0.0239375	0.00997424
0.13	0.0983877	0.00161006	-0.0241755	0.0241071	0.00997366
0.131	0.0983634	0.00163425	-0.0243464	0.0242764	0.00997307
0.132	0.098339	0.00165862	-0.024517	0.0244455	0.00997248
0.133	0.0983144	0.00168315	-0.0246874	0.0246143	0.00997187
