t	Theta RK	Omega RK	u	v	Energy
0.01	0.198992	0.0010083	-0.201323	0.20132	2.02
0.02	0.195987	0.00401285	-0.398607	0.39858	2.02
0.03	0.191046	0.00895307	-0.587892	0.587802	2.02
0.04	0.184269	0.0157293	-0.765382	0.76517	2.02
0.05	0.17579	0.0242049	-0.927515	0.927104	2.02
0.06	0.16578	0.034209	-1.07104	1.07034	2.02
0.07	0.154441	0.0455396	-1.19308	1.19198	2.02
0.08	0.141999	0.0579683	-1.29119	1.28958	2.02
0.09	0.128703	0.0712443	-1.36341	1.36115	2.02
0.1	0.114822	0.0850996	-1.40829	1.40525	2.02
0.11	0.100632	0.0992546	-1.42495	1.42098	2.02
0.12	0.0864181	0.113423	-1.41305	1.40802	2.02
0.13	0.0724653	0.12732	-1.37284	1.36661	2.02
0.14	0.0590529	0.140664	-1.30515	1.29758	2.02
0.15	0.0464494	0.153184	-1.21135	1.20231	2.02
0.16	0.0349068	0.164628	-1.09333	1.0827	2.02
0.17	0.0246557	0.174765	-0.953478	0.941148	2.02
0.18	0.0159007	0.183388	-0.794616	0.780493	2.02
0.19	0.00881615	0.190322	-0.61995	0.603957	2.02
0.2	0.00354272	0.195426	-0.433003	0.41508	2.02
0.21	0.000184514	0.198595	-0.237547	0.217652	2.02
0.22	-0.00119296	0.199763	-0.0375224	0.0156343	2.02
0.23	-0.000564138	0.198906	0.163036	-0.186919	2.02
0.24	0.00205606	0.196037	0.360085	-0.385945	2.02
0.25	0.00661259	0.191212	0.54965	-0.577448	2.02
0.26	0.0130113	0.184526	0.727908	-0.757586	2.02
0.27	0.021121	0.17611	0.891264	-0.922746	2.02
0.28	0.0307759	0.166132	1.03642	-1.06962	2.02
0.29	0.0417789	0.154789	1.16045	-1.19525	2.02
0.3	0.0539059	0.142306	1.26085	-1.29713	2.02
0.31	0.0669101	0.128932	1.33558	-1.37322	2.02
0.32	0.0805268	0.114933	1.38314	-1.422	2.02
0.33	0.0944789	0.100587	1.40255	-1.44249	2.02
0.34	0.108482	0.0861787	1.39342	-1.4343	2.02
0.35	0.122253	0.0719958	1.35593	-1.39759	2.02
0.36	0.135509	0.0583196	1.29081	-1.33312	2.02
0.37	0.147981	0.0454217	1.19936	-1.2422	2.02
0.38	0.159414	0.0335579	1.08342	-1.12665	2.02
0.39	0.169575	0.022963	0.945314	-0.988824	2.02
0.4	0.178256	0.0138465	0.787801	-0.831493	2.02
0.41	0.185277	0.0063877	0.614044	-0.657836	2.02
0.42	0.190494	0.00073263	0.427528	-0.471353	2.02
0.43	0.193798	-0.00300909	0.231995	-0.275808	2.02
0.44	0.195117	-0.00476642	0.03137	-0.0751424	2.01999
0.45	0.194421	-0.00450834	-0.170322	0.126597	2.01999
0.46	0.19172	-0.00224447	-0.369032	0.325343	2.01999
0.47	0.187064	0.00197515	-0.560773	0.517087	2.01999
0.48	0.180541	0.008061	-0.741698	0.697963	2.01999
0.49	0.172278	0.015886	-0.908177	0.864324	2.01999
0.5	0.162437	0.0252878	-1.05687	1.01281	2.01999
0.51	0.15121	0.0360725	-1.18479	1.14043	2.01999
0.52	0.138819	0.0480182	-1.28939	1.24461	2.01999
0.53	0.125507	0.0608793	-1.36856	1.32323	2.01999
0.54	0.111538	0.0743921	-1.42071	1.37471	2.01999
0.55	0.0971867	0.0882795	-1.44482	1.39801	2.01999
0.56	0.0827367	0.102257	-1.44041	1.39264	2.01999
0.57	0.0684734	0.116037	-1.40757	1.35871	2.01999
0.58	0.054678	0.129338	-1.34697	1.29688	2.01999
0.59	0.0416226	0.141886	-1.25984	1.2084	2.01999
0.6	0.0295639	0.153422	-1.14795	1.09503	2.01999
0.61	0.0187387	0.163711	-1.01355	0.959041	2.01999
0.62	0.00935896	0.172537	-0.859356	0.803165	2.01999
0.63	0.0016073	0.179718	-0.68848	0.630526	2.01999
0.64	-0.00436643	0.185103	-0.504366	0.444587	2.01999
0.65	-0.00844822	0.188578	-0.310729	0.24908	2.01999
0.66	-0.0105622	0.190066	-0.111473	0.0479279	2.01999
0.67	-0.0106723	0.189531	0.0893866	-0.154831	2.01999
0.68	-0.00878267	0.186977	0.287799	-0.355127	2.01999
0.69	-0.00493785	0.18245	0.479764	-0.548941	2.01999
0.7	0.000778167	0.176033	0.661411	-0.732382	2.01999
0.71	0.0082437	0.167849	0.829078	-0.90177	2.01999
0.72	0.0173018	0.158056	0.979383	-1.05371	2.01999
0.73	0.0277633	0.146844	1.10929	-1.18514	2.01999
0.74	0.0394108	0.13443	1.21619	-1.29344	2.01999
0.75	0.052003	0.121059	1.29791	-1.37644	2.01999
0.76	0.0652793	0.106992	1.3528	-1.43247	2.01999
0.77	0.0789656	0.0925035	1.37975	-1.46042	2.01999
0.78	0.0927791	0.0778789	1.3782	-1.45973	2.01999
0.79	0.106435	0.0634045	1.34819	-1.43042	2.01999
0.8	0.11965	0.049364	1.29031	-1.3731	2.01999
0.81	0.132152	0.0360321	1.20571	-1.28893	2.01999
0.82	0.14368	0.0236694	1.09608	-1.1796	2.01999
0.83	0.153997	0.0125168	0.963622	-1.04732	2.01999
0.84	0.162886	0.00279075	0.810995	-0.894768	2.01999
0.85	0.17016	-0.0053211	0.641258	-0.725017	2.01999
0.86	0.175665	-0.0116636	0.457818	-0.54149	2.01999
0.87	0.179283	-0.0161172	0.264355	-0.347887	2.01999
0.88	0.180932	-0.0186007	0.0647543	-0.148111	2.01999
0.89	0.18057	-0.0190723	-0.136978	0.0538118	2.01999
0.9	0.178198	-0.0175309	-0.336792	0.253811	2.01999
0.91	0.173854	-0.0140159	-0.530677	0.447854	2.01999
0.92	0.167618	-0.00860672	-0.714739	0.632032	2.01999
0.93	0.159605	-0.00142064	-0.885285	0.802629	2.01999
0.94	0.149968	0.00738905	-1.03889	0.956208	2.01999
0.95	0.138894	0.0176364	-1.17248	1.08967	2.01999
0.96	0.126595	0.0291063	-1.28336	1.20032	2.01999
0.97	0.11331	0.0415592	-1.36933	1.28593	2.01999
0.98	0.0992971	0.0547355	-1.42864	1.34477	2.01999
0.99	0.0848297	0.0683612	-1.46013	1.37564	2.01999
1	0.0701895	0.0821529	-1.46316	1.37792	2.01999
1.01	0.0556616	0.095824	-1.43769	1.35155	2.01999
1.02	0.0415292	0.10909	-1.38422	1.29706	2.01999
1.03	0.0280671	0.121675	-1.30385	1.21554	2.01999
1.04	0.0155366	0.133316	-1.1982	1.10861	2.01999
1.05	0.00418045	0.143769	-1.06939	0.978418	2.01999
1.06	-0.00578261	0.152815	-0.920041	0.827582	2.01999
1.07	-0.0141618	0.160262	-0.75315	0.659124	2.01999
1.08	-0.0207983	0.16595	-0.572084	0.476426	2.01999
1.09	-0.0255683	0.169755	-0.380495	0.283156	2.01999
1.1	-0.0283859	0.171591	-0.182241	0.0831945	2.01999
1.11	-0.0292042	0.17141	0.0186797	-0.119443	2.01999
1.12	-0.0280169	0.169207	0.21822	-0.320689	2.01999
1.13	-0.0248579	0.165015	0.412359	-0.5165	2.01999
1.14	-0.0198008	0.158908	0.597183	-0.702945	2.01999
1.15	-0.0129577	0.151	0.768968	-0.876282	2.01999
1.16	-0.00447655	0.141438	0.924252	-1.03303	2.01999
1.17	0.00546177	0.130405	1.0599	-1.17004	2.01999
1.18	0.0166469	0.118112	1.17319	-1.28457	2.01999
1.19	0.0288432	0.104796	1.26182	-1.37431	2.01999
1.2	0.0417949	0.0907145	1.32401	-1.43748	2.01999
