t	Theta RK	Energy 
0.2	0.0980067	0.00499615
0.4	0.0921062	0.00499699
0.6	0.0825339	0.00499805
0.8	0.0696713	0.004999
1	0.0540312	0.00499962
1.2	0.0362371	0.0049999
1.4	0.0169985	0.00499997
1.6	-0.00291784	0.00499996
1.8	-0.0227178	0.00499995
2	-0.0416121	0.00499983
2.2	-0.0588475	0.00499945
2.4	-0.0737368	0.00499872
2.6	-0.0856866	0.0049977
2.8	-0.0942204	0.00499666
3	-0.098998	0.00499593
3.2	-0.099829	0.00499579
3.4	-0.0966802	0.00499629
3.6	-0.0896772	0.00499723
3.8	-0.0790992	0.00499829
4	-0.0653678	0.00499915
4.2	-0.0490304	0.00499967
4.4	-0.0307385	0.00499987
4.6	-0.0112211	0.0049999
4.8	0.00874352	0.00499989
5	0.0283596	0.00499986
5.2	0.0468451	0.00499968
5.4	0.063463	0.0049992
5.6	0.077551	0.00499837
5.8	0.0885473	0.00499731
6	0.0960136	0.00499633
6.2	0.0996522	0.00499576
6.4	0.0993181	0.00499581
6.6	0.0950246	0.00499646
6.8	0.0869429	0.00499747
7	0.0753951	0.0049985
7.2	0.0608417	0.00499927
7.4	0.0438628	0.00499968
7.6	0.0251352	0.00499982
7.8	0.00540569	0.00499983
8	-0.0145393	0.00499982
8.2	-0.0339047	0.00499976
8.4	-0.0519185	0.00499951
8.6	-0.0678624	0.00499893
8.8	-0.081101	0.004998
9	-0.0911063	0.00499693
9.2	-0.0974797	0.00499604
9.4	-0.0999669	0.00499563
9.6	-0.0984689	0.00499587
9.8	-0.0930453	0.00499666
10	-0.0839124	0.00499771
10.2	-0.0714343	0.00499869
10.4	-0.0561085	0.00499936
10.6	-0.0385458	0.00499967
10.8	-0.0194465	0.00499976
11	0.000428102	0.00499976
11.2	0.0202856	0.00499975
11.4	0.0393343	0.00499965
11.6	0.056815	0.00499931
11.8	0.0720306	0.00499862
12	0.0843747	0.00499762
12.2	0.0933551	0.00499657
12.4	0.0986138	0.00499579
12.6	0.0999412	0.00499557
12.8	0.0972844	0.00499599
13	0.0907492	0.00499689
13.2	0.0805963	0.00499795
13.4	0.0672304	0.00499885
13.6	0.0511842	0.00499941
13.8	0.0330976	0.00499964
14	0.0136915	0.00499969
14.2	-0.00626035	0.00499969
14.4	-0.0259626	0.00499966
14.6	-0.0446299	0.00499951
14.8	-0.0615179	0.00499908
15	-0.0759535	0.00499828
15.2	-0.087361	0.00499724
15.4	-0.0952859	0.00499623
15.6	-0.0994121	0.00499559
15.8	-0.0995752	0.00499556
16	-0.0957686	0.00499614
16.2	-0.0881441	0.00499713
16.4	-0.0770058	0.00499817
16.6	-0.0627975	0.00499899
16.8	-0.0460857	0.00499944
17	-0.0275368	0.0049996
17.2	-0.00789006	0.00499962
17.4	0.0120712	0.00499961
17.6	0.0315512	0.00499957
17.8	0.0497734	0.00499935
18	0.0660113	0.00499881
18.2	0.0796176	0.00499792
18.4	0.0900498	0.00499685
18.6	0.0968922	0.00499592
18.8	0.0998719	0.00499544
19	0.09887	0.0049956
19.2	0.0939267	0.00499633
19.4	0.0852389	0.00499737
19.6	0.073153	0.00499837
19.8	0.0581508	0.00499909
20	0.0408304	0.00499944
20.2	0.0218823	0.00499954
20.4	0.0020618	0.00499955
20.6	-0.0178408	0.00499954
20.8	-0.0370322	0.00499946
21	-0.0547473	0.00499916
21.2	-0.0702798	0.00499851
21.4	-0.0830105	0.00499755
21.6	-0.0924319	0.00499648
21.8	-0.0981685	0.00499565
22	-0.0999915	0.00499535
22.2	-0.0978282	0.00499569
22.4	-0.091765	0.00499655
22.6	-0.0820434	0.00499761
22.8	-0.0690512	0.00499855
23	-0.0533062	0.00499916
23.2	-0.0354361	0.00499942
23.4	-0.0161533	0.00499948
23.6	0.0037734	0.00499948
23.8	0.0235497	0.00499946
24	0.0423871	0.00499933
24.2	0.0595347	0.00499894
24.4	0.0743089	0.00499819
24.6	0.0861207	0.00499716
24.8	0.0944992	0.00499613
25	0.0991104	0.00499543
25.2	0.0997706	0.00499532
25.4	0.0964532	0.00499583
25.6	0.0892907	0.00499679
25.8	0.0785686	0.00499784
26	0.0647143	0.00499869
26.2	0.0482801	0.00499919
26.4	0.0299212	0.00499938
26.6	0.0103694	0.00499941
26.8	-0.00959566	0.00499941
27	-0.0291782	0.00499937
27.2	-0.0475975	0.00499918
27.4	-0.0641193	0.00499869
27.6	-0.0780849	0.00499784
27.8	-0.0889376	0.00499678
28	-0.0962447	0.00499581
28.2	-0.0997149	0.00499526
28.4	-0.0992099	0.00499534
28.6	-0.0947498	0.00499601
28.8	-0.0865125	0.00499703
29	-0.0748262	0.00499805
29.2	-0.060157	0.00499881
29.4	-0.0430896	0.00499921
29.6	-0.0243044	0.00499933
29.8	-0.00455032	0.00499934
30	0.0153852	0.00499933
30.2	0.0347073	0.00499927
30.4	0.0526458	0.00499901
30.6	0.0684855	0.00499841
30.8	0.0815949	0.00499747
31	0.0914515	0.0049964
31.2	0.0976623	0.00499552
31.4	0.0999797	0.00499514
31.6	0.0983114	0.00499541
31.8	0.0927237	0.00499622
32	0.0834396	0.00499727
32.2	0.0708291	0.00499824
32.4	0.055395	0.00499889
32.6	0.0377525	0.00499919
32.8	0.018605	0.00499927
33	-0.00128421	0.00499927
33.2	-0.0211222	0.00499926
33.4	-0.0401181	0.00499915
33.6	-0.0575147	0.0049988
33.8	-0.0726183	0.00499809
34	-0.084827	0.00499709
34.2	-0.093654	0.00499604
34.4	-0.0987473	0.00499528
34.6	-0.0999041	0.00499509
34.8	-0.097078	0.00499553
35	-0.0903819	0.00499645
35.2	-0.0800827	0.00499751
35.4	-0.0665908	0.0049984
35.6	-0.0504444	0.00499894
35.8	-0.0322869	0.00499916
36	-0.0128423	0.0049992
36.2	0.00711428	0.0049992
36.4	0.0267872	0.00499917
36.6	0.0453922	0.00499901
36.8	0.0621876	0.00499856
37	0.0765038	0.00499775
37.2	0.0877702	0.00499671
37.4	0.0955375	0.0049957
37.6	0.0994961	0.00499509
37.8	0.0994882	0.00499508
38	0.0955141	0.00499569
38.2	0.0877323	0.00499669
38.4	0.076453	0.00499773
38.6	0.0621259	0.00499853
38.8	0.045322	0.00499897
39	0.0267114	0.00499912
39.2	0.00703591	0.00499913
39.4	-0.01292	0.00499913
39.6	-0.0323609	0.00499908
39.8	-0.0505117	0.00499885
40	-0.0666487	0.00499829
40.2	-0.0801288	0.00499739
40.4	-0.0904144	0.00499632
40.6	-0.0970956	0.0049954
40.8	-0.099906	0.00499495
41	-0.0987335	0.00499514
41.2	-0.093625	0.00499589
41.4	-0.084784	0.00499693
41.6	-0.0725631	0.00499793
41.8	-0.0574494	0.00499862
42	-0.0400454	0.00499896
42.2	-0.021045	0.00499906
42.4	-0.00120567	0.00499906
42.6	0.0186817	0.00499905
42.8	0.0378243	0.00499897
43	0.055459	0.00499866
43.2	0.0708828	0.00499799
43.4	0.0834808	0.00499702
43.6	0.0927507	0.00499595
43.8	0.098323	0.00499514
44	0.0999756	0.00499487
44.2	0.0976426	0.00499524
44.4	0.091417	0.00499611
44.6	0.081547	0.00499717
44.8	0.0684261	0.0049981
45	0.0525773	0.00499869
45.2	0.0346325	0.00499894
45.4	0.015307	0.00499899
45.6	-0.0046286	0.00499899
45.8	-0.0243797	0.00499897
46	-0.0431589	0.00499884
46.2	-0.0602175	0.00499843
46.4	-0.0748754	0.00499766
46.6	-0.0865484	0.00499663
46.8	-0.0947711	0.00499561
47	-0.0992156	0.00499492
47.2	-0.0997048	0.00499484
47.4	-0.0962192	0.00499538
47.6	-0.0888977	0.00499635
47.8	-0.0780323	0.0049974
48	-0.0640561	0.00499824
48.2	-0.0475262	0.00499872
48.4	-0.0291017	0.0049989
48.6	-0.00951704	0.00499893
48.8	0.010447	0.00499892
49	0.0299946	0.00499888
49.2	0.0483464	0.00499868
49.4	0.0647708	0.00499817
49.6	0.078613	0.00499731
49.8	0.0893213	0.00499625
50	0.0964687	0.00499529
50.2	0.0997703	0.00499476
50.4	0.0990944	0.00499487
50.6	0.0944681	0.00499556
50.8	0.0860758	0.00499659
51	0.074252	0.00499761
51.2	0.059468	0.00499835
51.4	0.0423134	0.00499873
51.6	0.0234719	0.00499885
51.8	0.0036947	0.00499885
52	-0.0162298	0.00499885
52.2	-0.0355072	0.00499878
52.4	-0.0533691	0.0049985
52.6	-0.0691034	0.00499789
52.8	-0.0820828	0.00499694
53	-0.0917899	0.00499587
53.2	-0.0978377	0.00499501
53.4	-0.0999852	0.00499466
53.6	-0.0981466	0.00499495
53.8	-0.0923954	0.00499577
54	-0.0829607	0.00499683
54.2	-0.0702188	0.00499779
54.4	-0.0546775	0.00499842
54.6	-0.0369565	0.00499872
54.8	-0.0177622	0.00499878
55	0.00214014	0.00499878
55.2	0.0219572	0.00499877
55.4	0.0408989	0.00499866
55.6	0.0582101	0.00499829
55.8	0.0732007	0.00499757
56	0.085273	0.00499656
56.2	0.0939459	0.00499551
56.4	0.0988736	0.00499477
56.6	0.0998596	0.00499461
56.8	0.0968646	0.00499508
57	0.090008	0.00499601
57.2	0.0795632	0.00499707
57.4	0.0659465	0.00499794
57.6	0.0497009	0.00499847
57.8	0.0314739	0.00499868
58	0.0119922	0.00499872
58.2	-0.00796761	0.00499871
58.4	-0.0276097	0.00499868
58.6	-0.0461512	0.00499852
58.8	-0.0628527	0.00499805
59	-0.0770486	0.00499723
59.2	-0.0881728	0.00499617
59.4	-0.095782	0.00499518
59.6	-0.0995727	0.00499459
59.8	-0.0993939	0.00499461
60	-0.0952527	0.00499524
60.2	-0.0873141	0.00499625
60.4	-0.0758947	0.00499728
60.6	-0.0614497	0.00499807
60.8	-0.044555	0.00499849
61	-0.0258841	0.00499863
61.2	-0.00618133	0.00499865
61.4	0.0137679	0.00499864
61.6	0.0331682	0.00499859
61.8	0.0512462	0.00499835
62	0.0672812	0.00499778
62.2	0.080634	0.00499686
62.4	0.0907723	0.00499579
62.6	0.0972918	0.00499488
62.8	0.0999327	0.00499446
63	0.0985897	0.00499467
63.2	0.0933164	0.00499544
63.4	0.0843229	0.00499649
63.6	0.0719679	0.00499748
63.8	0.0567438	0.00499816
64	0.0392575	0.00499849
64.2	0.0202063	0.00499857
64.4	0.000349533	0.00499858
64.6	-0.0195212	0.00499857
64.8	-0.0386136	0.00499847
