t	Theta Euler	Energy
0.21	0.1	0.00521633
0.42	0.09559	0.00541059
0.63	0.0869552	0.00554626
0.84	0.0744676	0.00560106
1.05	0.0586697	0.0055668
1.26	0.0402513	0.00545102
1.47	0.0200192	0.00527565
1.68	-0.00113833	0.00507315
1.89	-0.02229	0.00488074
2.1	-0.0425032	0.00473383
2.31	-0.0608844	0.00465996
2.52	-0.0766192	0.00467402
2.73	-0.0890081	0.00477578
2.94	-0.0974978	0.0049499
3.15	-0.101706	0.00516838
3.36	-0.101437	0.00539534
3.57	-0.0966947	0.00559306
3.78	-0.0876781	0.00572864
3.99	-0.0747759	0.00577981
4.2	-0.058549	0.0057391
4.41	-0.039706	0.00561522
4.62	-0.0190724	0.00543159
4.83	0.00244563	0.00522217
5.04	0.023901	0.00502546
5.25	0.0443474	0.00487767
5.46	0.0628809	0.00480655
5.67	0.0786804	0.00482658
5.88	0.0910432	0.00493659
6.09	0.099417	0.00511985
6.3	0.103424	0.00534688
6.51	0.102879	0.00558034
6.72	0.097795	0.00578144
6.93	0.088388	0.00591669
7.14	0.0750633	0.00596394
7.35	0.0584003	0.00591643
7.56	0.0391269	0.00578413
7.77	0.0180875	0.00559201
7.98	-0.00379372	0.00537559
8.19	-0.0255536	0.00517463
8.4	-0.0462323	0.00502616
8.61	-0.0649155	0.00495809
8.82	-0.0807752	0.00498446
9.03	-0.093106	0.00510306
9.24	-0.101357	0.00529577
9.45	-0.105155	0.00553153
9.66	-0.104324	0.00577154
9.87	-0.0988903	0.00597589
10.08	-0.0890843	0.00611058
10.29	-0.0753291	0.00615358
10.5	-0.0582229	0.00609892
10.71	-0.0385132	0.00595789
10.92	-0.0170637	0.00575706
11.13	0.00518334	0.00553354
11.34	0.0272485	0.00532839
11.55	0.0481584	0.00517945
11.76	0.0669884	0.00511475
11.97	0.0829038	0.00514783
12.18	0.0951965	0.00527539
12.39	0.103317	0.00547785
12.6	0.106898	0.00572252
12.81	0.105772	0.00596911
13.02	0.09998	0.00617661
13.23	0.0897663	0.00631049
13.44	0.0755724	0.00634889
13.65	0.0580159	0.00628671
13.86	0.0378641	0.00613662
14.07	0.0160002	0.00592686
14.28	-0.00661525	0.00569616
14.49	-0.0289865	0.00548692
14.7	-0.0501264	0.00533772
14.91	-0.0691001	0.00527672
15.12	-0.0850663	0.00531689
15.33	-0.0973147	0.00545379
15.54	-0.105297	0.0056663
15.75	-0.108653	0.00592006
15.96	-0.107224	0.00617327
16.17	-0.101063	0.00638378
16.38	-0.0904332	0.00651658
16.59	-0.0757924	0.00655003
16.8	-0.0577785	0.00647995
17.01	-0.0371787	0.00632048
17.22	-0.0148961	0.00610155
17.43	0.00809022	0.00586361
17.64	0.0307681	0.00565035
17.85	0.0521366	0.00550114
18.06	0.0712509	0.00544419
18.27	0.0872631	0.00549185
18.48	0.0994606	0.00563847
18.69	0.107298	0.00586134
18.9	0.110419	0.00612438
19.11	0.108678	0.00638421
19.32	0.10214	0.0065976
19.53	0.0910842	0.00672903
19.74	0.0759884	0.00675715
19.95	0.0575098	0.00667879
20.16	0.0364561	0.0065096
20.37	0.0137506	0.0062813
20.58	-0.00960902	0.00603604
20.79	-0.0325939	0.00581887
21	-0.0541897	0.0056699
21.21	-0.0734411	0.00561736
21.42	-0.0894942	0.00567292
21.63	-0.101634	0.00582966
21.84	-0.109318	0.0060632
22.05	-0.112196	0.00633568
22.26	-0.110133	0.00660216
22.47	-0.103209	0.00681825
22.68	-0.0917187	0.00694802
22.89	-0.0761594	0.00697044
23.1	-0.0572088	0.0068834
23.31	-0.0356955	0.00670413
23.52	-0.0125628	0.00646624
23.73	0.0111724	0.00621361
23.94	0.0344648	0.00599265
24.15	0.0562862	0.00584418
24.36	0.0756712	0.00579644
24.57	0.0917599	0.00586033
24.78	0.103836	0.00602758
24.99	0.111358	0.0062721
25.2	0.113985	0.00655421
25.41	0.11159	0.00682732
25.62	0.10427	0.00704595
25.83	0.0923358	0.00717374
26.04	0.0763046	0.00719006
26.25	0.0568747	0.00709391
26.46	0.0348958	0.00690424
26.67	0.0113319	0.00665654
26.88	-0.0127812	0.00639649
27.09	-0.0363813	0.00617186
27.3	-0.0584266	0.00602419
27.51	-0.0779416	0.00598163
27.72	-0.0940603	0.00605428
27.93	-0.106065	0.00623247
28.14	-0.113417	0.00648829
28.35	-0.115783	0.00678018
28.56	-0.113048	0.00705993
28.77	-0.105322	0.0072809
28.98	-0.0929346	0.00740638
29.19	-0.076423	0.00741618
29.4	-0.0565066	0.00731052
29.61	-0.0340563	0.00711008
29.82	-0.010057	0.00685235
30.03	0.0144362	0.00658484
30.24	0.0383442	0.0063567
30.45	0.0606114	0.00621012
30.66	0.0802524	0.00617316
30.87	0.0963956	0.00625503
31.08	0.108322	0.00644457
31.29	0.115496	0.00671201
31.5	0.117591	0.00701385
31.71	0.114506	0.0073002
31.92	0.106364	0.00752332
32.13	0.0935144	0.00764613
32.34	0.0765139	0.00764898
32.55	0.0561034	0.00753337
32.76	0.0331759	0.00732182
32.97	0.00873721	0.00705385
33.18	-0.0161381	0.00677885
33.39	-0.040354	0.00654735
33.6	-0.0628412	0.00640218
33.81	-0.0826042	0.00637125
34.02	-0.0987659	0.00646282
34.23	-0.110606	0.00666414
34.44	-0.117593	0.00694351
34.65	-0.119409	0.00725546
34.86	-0.115963	0.00754838
35.07	-0.107396	0.00777343
35.28	-0.0940744	0.00789321
35.49	-0.0765763	0.00788865
35.7	-0.0556644	0.00776265
35.91	-0.0322538	0.00753962
36.12	-0.00737164	0.0072612
36.33	0.0178879	0.0069787
36.54	0.0424115	0.00674401
36.75	0.0651164	0.00660061
36.96	0.0849972	0.00657615
37.17	0.101171	0.00667789
37.38	0.112918	0.00689143
37.59	0.11971	0.00718306
37.8	0.121236	0.00750527
38.01	0.117419	0.00780471
38.22	0.108417	0.00803144
38.43	0.0946136	0.00814781
38.64	0.0766091	0.00813539
38.85	0.0551884	0.00799853
39.06	0.0312889	0.00776367
39.27	0.00595938	0.0074746
39.48	-0.0196862	0.00718458
39.69	-0.0445174	0.0069469
39.9	-0.0674375	0.00680561
40.11	-0.0874318	0.0067881
40.32	-0.103612	0.0069005
40.53	-0.115258	0.00712671
40.74	-0.121844	0.00743093
40.95	-0.123072	0.00776354
41.16	-0.118874	0.00806944
41.37	-0.109425	0.0082976
41.58	-0.0951311	0.00841014
41.79	-0.0766116	0.00838938
42	-0.0546746	0.0082412
42.21	-0.0302803	0.00799413
42.42	-0.00449952	0.00769422
42.63	0.0215339	0.00739669
42.84	0.0466723	0.00715623
43.05	0.0698052	0.00701743
43.26	0.0899084	0.00700734
43.47	0.106089	0.00713093
43.68	0.117625	0.00737026
43.89	0.123997	0.00768739
44.1	0.124915	0.00803054
44.31	0.120326	0.00834283
44.52	0.110421	0.00857214
44.73	0.0956262	0.00868044
44.94	0.0765826	0.00865083
45.15	0.0541218	0.00849085
45.36	0.0292271	0.00823121
45.57	0.00299115	0.00792025
45.78	-0.0234318	0.00761524
45.99	-0.0488769	0.00737222
46.2	-0.0722199	0.00723632
46.41	-0.0924271	0.00723416
46.62	-0.108601	0.00736945
46.83	-0.120019	0.00762237
47.04	-0.126168	0.00795273
47.25	-0.126767	0.00830654
47.46	-0.121776	0.00862514
47.67	-0.111404	0.00885531
47.88	-0.0960977	0.00895891
48.09	-0.0765213	0.00891995
48.3	-0.0535292	0.00874768
48.51	-0.0281282	0.00847509
48.72	-0.00143334	0.00815291
48.93	0.0253808	0.00784044
49.14	0.0511319	0.00759511
49.35	0.0746821	0.00746251
49.56	0.0949884	0.00746881
49.77	0.111148	0.00761635
49.98	0.12244	0.00788333
50.19	0.128357	0.00822724
50.4	0.128625	0.00859185
50.61	0.123221	0.00891663
50.82	0.112372	0.00914735
51.03	0.0965449	0.00924579
51.24	0.0764266	0.00919694
51.45	0.0528956	0.00901188
51.66	0.0269826	0.00872597
51.87	-0.000174868	0.00839238
52.08	-0.0273816	0.00807251
52.29	-0.0534379	0.00782513
