t	Theta Leapfrog	Energy 
0	0.1
1	0.1
2	0.1	0.00999583
3	-0.1	0.0249958
4	-0.3	0.0496635
5	0.1	0.0849958
6	0.5	0.127417
7	-0.1	0.184996
8	-0.7	0.240158
9	0.1	0.324996
10	0.9	0.38339
11	-0.1	0.504996
12	-1.1	0.551404
13	0.1	0.724996
14	1.3	0.737501
15	-0.1	0.984996
16	-1.5	0.934263
17	0.1	1.285
18	1.7	1.13384
19	-0.1	1.625
20	-1.9	1.32829
21	0.1	2.005
22	2.1	1.50985
23	-0.1	2.425
24	-2.3	1.67128
25	0.1	2.885
26	2.5	1.80614
27	-0.1	3.385
28	-2.7	1.90907
29	0.1	3.925
30	2.9	1.97596
31	-0.1	4.505
32	-3.1	2.00414
33	0.1	5.125
34	3.3	1.99248
35	-0.1	5.785
36	-3.5	1.94146
37	0.1	6.485
38	3.7	1.8531
39	-0.1	7.225
40	-3.9	1.73093
41	0.1	8.005
42	4.1	1.57982
43	-0.1	8.825
44	-4.3	1.4058
45	0.1	9.685
46	4.5	1.2158
47	-0.1	10.585
48	-4.7	1.01739
49	0.1	11.525
50	4.9	0.818488
51	-0.1	12.505
52	-5.1	0.627022
53	0.1	13.525
54	5.3	0.450626
55	-0.1	14.585
56	-5.5	0.29633
57	0.1	15.685
58	5.7	0.170287
59	-0.1	16.825
60	-5.9	0.0775216
61	0.1	18.005
62	6.1	0.0217316
63	-0.1	19.225
64	-6.3	0.00514136
65	0.1	20.485
66	6.5	0.0284124
67	-0.1	21.785
68	-6.7	0.0906169
69	0.1	23.125
70	6.9	0.189275
71	-0.1	24.505
72	-7.1	0.320453
73	0.1	25.925
74	7.3	0.478922
75	-0.1	27.385
76	-7.5	0.658365
77	0.1	28.885
78	7.7	0.851626
79	-0.1	30.425
80	-7.9	1.051
81	0.1	32.005
82	8.1	1.24854
83	-0.1	33.625
84	-8.3	1.43638
85	0.1	35.285
86	8.5	1.60701
87	-0.1	36.985
88	-8.7	1.75365
89	0.1	38.725
90	8.9	1.87044
91	-0.1	40.505
92	-9.1	1.95272
93	0.1	42.325
94	9.3	1.99723
95	-0.1	44.185
96	-9.5	2.00217
97	0.1	46.085
98	9.7	1.96736
99	-0.1	48.025
100	-9.9	1.89419
101	0.1	50.005
102	10.1	1.78557
103	-0.1	52.025
104	-10.3	1.64583
105	0.1	54.085
106	10.5	1.48054
107	-0.1	56.185
108	-10.7	1.29629
109	0.1	58.325
110	10.9	1.10043
111	-0.1	60.505
112	-11.1	0.900764
113	0.1	62.725
114	11.3	0.705255
115	-0.1	64.985
116	-11.5	0.521695
117	0.1	67.285
118	11.7	0.357404
119	-0.1	69.625
120	-11.9	0.21893
121	0.1	72.005
122	12.1	0.111794
123	-0.1	74.425
124	-12.3	0.0402674
125	0.1	76.885
126	12.5	0.00720172
127	-0.1	79.385
128	-12.7	0.0139151
129	0.1	81.925
130	12.9	0.06014
131	-0.1	84.505
132	-13.1	0.144033
133	0.1	87.125
134	13.3	0.262251
135	-0.1	89.785
136	-13.5	0.410079
137	0.1	92.485
138	13.7	0.581625
139	-0.1	95.225
140	-13.9	0.77005
141	0.1	98.005
142	14.1	0.967842
143	-0.1	100.825
144	-14.3	1.16711
145	0.1	103.685
146	14.5	1.35992
147	-0.1	106.585
148	-14.7	1.53858
149	0.1	109.525
150	14.9	1.69597
151	-0.1	112.505
152	-15.1	1.82581
153	0.1	115.525
154	15.3	1.92293
155	-0.1	118.585
156	-15.5	1.98345
157	0.1	121.685
158	15.7	2.00497
159	-0.1	124.825
160	-15.9	1.98662
161	0.1	128.005
162	16.1	1.92913
163	-0.1	131.225
164	-16.3	1.83481
165	0.1	134.485
166	16.5	1.7074
167	-0.1	137.785
168	-16.7	1.55199
169	0.1	141.125
170	16.9	1.37477
171	-0.1	144.505
172	-17.1	1.18281
173	0.1	147.925
174	17.3	0.983761
175	-0.1	151.385
176	-17.5	0.78556
177	0.1	154.885
178	17.7	0.596107
179	-0.1	158.425
180	-17.9	0.422956
181	0.1	162.005
182	18.1	0.273009
183	-0.1	165.625
184	-18.3	0.152243
185	0.1	169.285
186	18.5	0.0654751
187	-0.1	172.985
188	-18.7	0.0161627
189	0.1	176.725
190	18.9	0.00627203
191	-0.1	180.505
192	-19.1	0.0361975
193	0.1	184.325
194	19.3	0.104746
195	-0.1	188.185
196	-19.5	0.209185
197	0.1	192.085
198	19.7	0.345351
199	-0.1	196.025
200	-19.9	0.507814
201	0.1	200.005
202	20.1	0.690099
203	-0.1	204.025
204	-20.3	0.884938
205	0.1	208.085
206	20.5	1.08456
207	-0.1	212.185
208	-20.7	1.28102
209	0.1	216.325
210	20.9	1.46647
211	-0.1	220.505
212	-21.1	1.63352
213	0.1	224.725
214	21.3	1.77551
215	-0.1	228.985
216	-21.5	1.88679
217	0.1	233.285
218	21.7	1.96291
219	-0.1	237.625
220	-21.9	2.00085
221	0.1	242.005
222	22.1	1.99908
223	-0.1	246.425
224	-22.3	1.95768
225	0.1	250.885
