t	Theta Euler	Energy
0.01	0.1	0.0050005
0.02	0.09999	0.005001
0.03	0.09997	0.00500148
0.04	0.0999401	0.00500196
0.05	0.0999002	0.00500242
0.06	0.0998504	0.00500286
0.07	0.0997907	0.00500328
0.08	0.0997212	0.00500367
0.09	0.0996418	0.00500403
0.1	0.0995526	0.00500435
0.11	0.0994536	0.00500464
0.12	0.0993449	0.00500488
0.13	0.0992264	0.00500507
0.14	0.0990982	0.00500522
0.15	0.0989604	0.00500532
0.16	0.0988129	0.00500535
0.17	0.0986559	0.00500533
0.18	0.0984892	0.00500524
0.19	0.0983131	0.00500509
0.2	0.0981274	0.00500486
0.21	0.0979323	0.00500456
0.22	0.0977277	0.00500419
0.23	0.0975138	0.00500373
0.24	0.0972905	0.00500319
0.25	0.0970579	0.00500257
0.26	0.0968161	0.00500185
0.27	0.096565	0.00500104
0.28	0.0963048	0.00500014
0.29	0.0960354	0.00499914
0.3	0.0957569	0.00499804
0.31	0.0954694	0.00499683
0.32	0.0951729	0.00499552
0.33	0.0948674	0.00499409
0.34	0.094553	0.00499256
0.35	0.0942298	0.00499091
0.36	0.0938977	0.00498914
0.37	0.0935569	0.00498726
0.38	0.0932074	0.00498525
0.39	0.0928492	0.00498312
0.4	0.0924824	0.00498086
0.41	0.0921071	0.00497847
0.42	0.0917233	0.00497596
0.43	0.091331	0.00497331
0.44	0.0909303	0.00497053
0.45	0.0905214	0.00496761
0.46	0.0901041	0.00496455
0.47	0.0896786	0.00496135
0.48	0.089245	0.00495801
0.49	0.0888032	0.00495453
0.5	0.0883534	0.0049509
0.51	0.0878957	0.00494713
0.52	0.08743	0.00494321
0.53	0.0869565	0.00493914
0.54	0.0864751	0.00493492
0.55	0.085986	0.00493055
0.56	0.0854893	0.00492603
0.57	0.084985	0.00492136
0.58	0.0844731	0.00491653
0.59	0.0839537	0.00491154
0.6	0.0834269	0.0049064
0.61	0.0828928	0.0049011
0.62	0.0823514	0.00489564
0.63	0.0818029	0.00489003
0.64	0.0812471	0.00488426
0.65	0.0806843	0.00487833
0.66	0.0801145	0.00487224
0.67	0.0795378	0.00486598
0.68	0.0789542	0.00485957
0.69	0.0783639	0.004853
0.7	0.0777668	0.00484627
0.71	0.077163	0.00483938
0.72	0.0765527	0.00483233
0.73	0.0759359	0.00482512
0.74	0.0753127	0.00481774
0.75	0.0746832	0.00481021
0.76	0.0740473	0.00480252
0.77	0.0734053	0.00479467
0.78	0.0727572	0.00478666
0.79	0.072103	0.00477849
0.8	0.0714428	0.00477017
0.81	0.0707767	0.00476169
0.82	0.0701049	0.00475305
0.83	0.0694273	0.00474425
0.84	0.068744	0.00473531
0.85	0.0680552	0.0047262
0.86	0.0673609	0.00471695
0.87	0.0666611	0.00470755
0.88	0.065956	0.00469799
0.89	0.0652457	0.00468828
0.9	0.0645302	0.00467843
0.91	0.0638096	0.00466843
0.92	0.063084	0.00465828
0.93	0.0623534	0.00464799
0.94	0.061618	0.00463756
0.95	0.0608779	0.00462699
0.96	0.060133	0.00461628
0.97	0.0593836	0.00460543
0.98	0.0586296	0.00459444
0.99	0.0578713	0.00458332
1	0.0571085	0.00457207
1.01	0.0563415	0.00456068
1.02	0.0555704	0.00454917
1.03	0.0547951	0.00453753
1.04	0.0540159	0.00452576
1.05	0.0532327	0.00451388
1.06	0.0524456	0.00450187
1.07	0.0516549	0.00448974
1.08	0.0508604	0.0044775
1.09	0.0500624	0.00446514
1.1	0.0492609	0.00445267
1.11	0.048456	0.00444009
1.12	0.0476478	0.00442741
1.13	0.0468364	0.00441462
1.14	0.0460218	0.00440173
1.15	0.0452041	0.00438873
1.16	0.0443835	0.00437564
1.17	0.04356	0.00436246
1.18	0.0427337	0.00434918
1.19	0.0419047	0.00433581
1.2	0.0410731	0.00432236
1.21	0.040239	0.00430882
1.22	0.0394024	0.0042952
1.23	0.0385635	0.00428151
1.24	0.0377223	0.00426773
1.25	0.036879	0.00425388
1.26	0.0360335	0.00423997
1.27	0.0351861	0.00422598
1.28	0.0343368	0.00421193
1.29	0.0334856	0.00419782
1.3	0.0326327	0.00418365
1.31	0.0317782	0.00416942
1.32	0.0309221	0.00415514
1.33	0.0300645	0.00414081
1.34	0.0292056	0.00412643
1.35	0.0283453	0.00411201
1.36	0.0274839	0.00409754
1.37	0.0266214	0.00408304
1.38	0.0257578	0.0040685
1.39	0.0248933	0.00405393
1.4	0.024028	0.00403933
1.41	0.0231619	0.00402471
1.42	0.0222951	0.00401006
1.43	0.0214277	0.00399539
1.44	0.0205599	0.0039807
1.45	0.0196916	0.003966
1.46	0.0188231	0.00395129
1.47	0.0179542	0.00393657
1.48	0.0170853	0.00392185
1.49	0.0162163	0.00390712
1.5	0.0153473	0.0038924
1.51	0.0144784	0.00387768
1.52	0.0136098	0.00386296
1.53	0.0127414	0.00384826
1.54	0.0118734	0.00383357
1.55	0.0110059	0.0038189
1.56	0.0101389	0.00380424
1.57	0.00927253	0.00378961
1.58	0.0084069	0.003775
1.59	0.00754207	0.00376042
1.6	0.00667813	0.00374587
1.61	0.00581516	0.00373135
1.62	0.00495325	0.00371687
1.63	0.00409248	0.00370243
1.64	0.00323294	0.00368803
1.65	0.00237471	0.00367368
1.66	0.00151787	0.00365937
1.67	0.000662507	0.00364512
1.68	-0.000191296	0.00363092
1.69	-0.00104346	0.00361677
1.7	-0.0018939	0.00360269
1.71	-0.00274253	0.00358866
1.72	-0.00358928	0.0035747
1.73	-0.00443405	0.0035608
1.74	-0.00527679	0.00354698
1.75	-0.00611739	0.00353322
1.76	-0.00695578	0.00351954
1.77	-0.00779188	0.00350594
1.78	-0.00862562	0.00349241
1.79	-0.00945691	0.00347897
1.8	-0.0102857	0.00346561
1.81	-0.0111118	0.00345234
1.82	-0.0119353	0.00343915
1.83	-0.012756	0.00342606
1.84	-0.0135739	0.00341305
1.85	-0.0143889	0.00340015
1.86	-0.0152009	0.00338734
1.87	-0.0160098	0.00337463
1.88	-0.0168156	0.00336202
1.89	-0.0176182	0.00334951
1.9	-0.0184175	0.00333711
1.91	-0.0192134	0.00332481
1.92	-0.0200059	0.00331263
1.93	-0.0207949	0.00330055
1.94	-0.0215803	0.00328859
1.95	-0.022362	0.00327674
1.96	-0.0231401	0.00326501
1.97	-0.0239143	0.0032534
1.98	-0.0246847	0.0032419
1.99	-0.0254512	0.00323053
2	-0.0262136	0.00321927
2.01	-0.026972	0.00320814
2.02	-0.0277262	0.00319714
2.03	-0.0284763	0.00318626
2.04	-0.029222	0.00317551
2.05	-0.0299635	0.00316489
2.06	-0.0307005	0.00315439
2.07	-0.031433	0.00314403
2.08	-0.032161	0.0031338
2.09	-0.0328844	0.00312371
2.1	-0.0336032	0.00311375
2.11	-0.0343172	0.00310392
2.12	-0.0350265	0.00309423
2.13	-0.0357308	0.00308467
2.14	-0.0364303	0.00307526
2.15	-0.0371248	0.00306598
2.16	-0.0378143	0.00305684
2.17	-0.0384987	0.00304784
2.18	-0.0391779	0.00303897
2.19	-0.0398519	0.00303025
2.2	-0.0405207	0.00302168
2.21	-0.0411841	0.00301324
2.22	-0.0418422	0.00300494
2.23	-0.0424948	0.00299679
2.24	-0.0431419	0.00298877
2.25	-0.0437835	0.0029809
2.26	-0.0444195	0.00297318
2.27	-0.0450498	0.00296559
2.28	-0.0456745	0.00295815
2.29	-0.0462933	0.00295085
2.3	-0.0469064	0.00294369
2.31	-0.0475136	0.00293667
2.32	-0.048115	0.0029298
2.33	-0.0487103	0.00292307
2.34	-0.0492997	0.00291648
2.35	-0.049883	0.00291003
2.36	-0.0504602	0.00290372
2.37	-0.0510313	0.00289755
2.38	-0.0515961	0.00289153
2.39	-0.0521548	0.00288564
2.4	-0.0527072	0.00287989
2.41	-0.0532532	0.00287427
2.42	-0.0537929	0.0028688
2.43	-0.0543262	0.00286346
2.44	-0.054853	0.00285826
2.45	-0.0553734	0.00285319
2.46	-0.0558872	0.00284826
2.47	-0.0563945	0.00284346
2.48	-0.0568951	0.00283879
2.49	-0.0573891	0.00283426
2.5	-0.0578765	0.00282985
2.51	-0.0583571	0.00282557
2.52	-0.058831	0.00282143
2.53	-0.0592981	0.0028174
2.54	-0.0597584	0.00281351
2.55	-0.0602118	0.00280973
2.56	-0.0606583	0.00280609
2.57	-0.061098	0.00280256
2.58	-0.0615306	0.00279915
2.59	-0.0619564	0.00279586
2.6	-0.0623751	0.00279269
2.61	-0.0627867	0.00278963
2.62	-0.0631913	0.00278669
2.63	-0.0635889	0.00278387
2.64	-0.0639793	0.00278115
2.65	-0.0643625	0.00277854
2.66	-0.0647386	0.00277604
2.67	-0.0651076	0.00277365
2.68	-0.0654693	0.00277136
2.69	-0.0658237	0.00276917
2.7	-0.0661709	0.00276708
2.71	-0.0665109	0.0027651
2.72	-0.0668435	0.00276321
2.73	-0.0671688	0.00276141
2.74	-0.0674868	0.00275971
2.75	-0.0677975	0.0027581
2.76	-0.0681007	0.00275658
2.77	-0.0683966	0.00275515
2.78	-0.0686851	0.0027538
2.79	-0.0689662	0.00275253
2.8	-0.0692398	0.00275135
2.81	-0.069506	0.00275025
2.82	-0.0697647	0.00274922
2.83	-0.070016	0.00274827
2.84	-0.0702598	0.00274739
2.85	-0.070496	0.00274658
2.86	-0.0707248	0.00274584
2.87	-0.0709461	0.00274517
2.88	-0.0711599	0.00274456
2.89	-0.0713662	0.00274402
2.9	-0.0715649	0.00274353
2.91	-0.0717561	0.0027431
2.92	-0.0719397	0.00274273
2.93	-0.0721158	0.00274241
2.94	-0.0722844	0.00274214
2.95	-0.0724454	0.00274192
2.96	-0.0725989	0.00274175
2.97	-0.0727448	0.00274162
2.98	-0.0728831	0.00274153
2.99	-0.0730139	0.00274148
3	-0.0731372	0.00274147
3.01	-0.0732529	0.00274149
3.02	-0.0733611	0.00274155
3.03	-0.0734617	0.00274163
3.04	-0.0735548	0.00274175
3.05	-0.0736403	0.00274189
3.06	-0.0737184	0.00274205
3.07	-0.0737889	0.00274224
3.08	-0.0738519	0.00274244
3.09	-0.0739073	0.00274266
3.1	-0.0739553	0.0027429
3.11	-0.0739958	0.00274315
3.12	-0.0740289	0.0027434
3.13	-0.0740544	0.00274367
3.14	-0.0740725	0.00274394
3.15	-0.0740832	0.00274421
3.16	-0.0740865	0.00274449
3.17	-0.0740823	0.00274476
3.18	-0.0740707	0.00274503
3.19	-0.0740517	0.0027453
3.2	-0.0740254	0.00274555
3.21	-0.0739917	0.0027458
3.22	-0.0739507	0.00274603
3.23	-0.0739024	0.00274626
3.24	-0.0738467	0.00274646
3.25	-0.0737838	0.00274665
3.26	-0.0737137	0.00274681
3.27	-0.0736362	0.00274696
3.28	-0.0735516	0.00274708
3.29	-0.0734598	0.00274717
3.3	-0.0733608	0.00274723
3.31	-0.0732547	0.00274727
3.32	-0.0731414	0.00274727
3.33	-0.073021	0.00274724
3.34	-0.0728936	0.00274717
3.35	-0.0727591	0.00274706
3.36	-0.0726176	0.00274692
3.37	-0.0724691	0.00274673
3.38	-0.0723137	0.0027465
3.39	-0.0721513	0.00274622
3.4	-0.071982	0.0027459
3.41	-0.0718058	0.00274553
3.42	-0.0716228	0.00274511
3.43	-0.0714329	0.00274463
3.44	-0.0712363	0.00274411
3.45	-0.0710329	0.00274353
3.46	-0.0708228	0.00274289
3.47	-0.0706061	0.00274219
3.48	-0.0703826	0.00274144
3.49	-0.0701526	0.00274062
3.5	-0.069916	0.00273975
3.51	-0.0696728	0.00273881
