t	Theta Leapfrog	Energy 
0	0.1
0.01	0.1
0.02	0.1	0.0050005
0.03	0.09998	0.00499999
0.04	0.0999601	0.00500048
0.05	0.0999202	0.00499995
0.06	0.0998804	0.00500042
0.07	0.0998207	0.00499985
0.08	0.0997612	0.00500028
0.09	0.0996818	0.00499966
0.1	0.0996026	0.00500002
0.11	0.0995036	0.00499934
0.12	0.0994049	0.00499963
0.13	0.0992864	0.00499886
0.14	0.0991683	0.00499907
0.15	0.0990304	0.00499821
0.16	0.0988931	0.00499831
0.17	0.098736	0.00499734
0.18	0.0985795	0.00499732
0.19	0.0984033	0.00499623
0.2	0.0982278	0.00499608
0.21	0.0980326	0.00499486
0.22	0.0978383	0.00499456
0.23	0.0976243	0.00499319
0.24	0.0974112	0.00499273
0.25	0.0971787	0.00499121
0.26	0.096947	0.00499057
0.27	0.096696	0.00498888
0.28	0.096446	0.00498806
0.29	0.0961767	0.00498618
0.3	0.0959084	0.00498516
0.31	0.095621	0.0049831
0.32	0.0953347	0.00498187
0.33	0.0950294	0.0049796
0.34	0.0947253	0.00497815
0.35	0.0944022	0.00497567
0.36	0.0940804	0.00497398
0.37	0.0937398	0.00497128
0.38	0.0934006	0.00496935
0.39	0.0930427	0.00496643
0.4	0.0926862	0.00496424
0.41	0.0923112	0.00496108
0.42	0.0919376	0.00495863
0.43	0.0915457	0.00495522
0.44	0.0911554	0.00495251
0.45	0.0907468	0.00494885
0.46	0.0903399	0.00494585
0.47	0.0899148	0.00494193
0.48	0.0894915	0.00493864
0.49	0.0890503	0.00493446
0.5	0.0886109	0.00493088
0.51	0.0881537	0.00492643
0.52	0.0876983	0.00492255
0.53	0.0872254	0.00491782
0.54	0.0867544	0.00491363
0.55	0.0862661	0.00490862
0.56	0.0857797	0.00490412
0.57	0.0852761	0.00489882
0.58	0.0847745	0.00489401
0.59	0.084256	0.00488843
0.6	0.0837396	0.00488329
0.61	0.0832064	0.00487742
0.62	0.0826754	0.00487195
0.63	0.0821278	0.00486579
0.64	0.0815824	0.00486
0.65	0.0810207	0.00485354
0.66	0.0804612	0.00484742
0.67	0.0798856	0.00484066
0.68	0.0793123	0.00483421
0.69	0.0787232	0.00482716
0.7	0.0781364	0.00482037
0.71	0.077534	0.00481302
0.72	0.076934	0.0048059
0.73	0.0763186	0.00479826
0.74	0.0757057	0.0047908
0.75	0.0750776	0.00478287
0.76	0.074452	0.00477508
0.77	0.0738116	0.00476685
0.78	0.0731736	0.00475873
0.79	0.0725211	0.0047502
0.8	0.0718712	0.00474175
0.81	0.0712069	0.00473294
0.82	0.0705452	0.00472416
0.83	0.0698695	0.00471506
0.84	0.0691964	0.00470596
0.85	0.0685095	0.00469657
0.86	0.0678253	0.00468715
0.87	0.0671276	0.00467749
0.88	0.0664326	0.00466774
0.89	0.0657245	0.00465781
0.9	0.065019	0.00464775
0.91	0.0643007	0.00463754
0.92	0.063585	0.00462718
0.93	0.0628569	0.00461671
0.94	0.0621314	0.00460604
0.95	0.0613938	0.00459531
0.96	0.0606588	0.00458435
0.97	0.059912	0.00457336
0.98	0.0591679	0.00456211
0.99	0.0584122	0.00455087
1	0.0576593	0.00453934
1.01	0.0568951	0.00452787
1.02	0.0561337	0.00451606
1.03	0.0553613	0.00450435
1.04	0.0545917	0.00449227
1.05	0.0538116	0.00448034
1.06	0.0530342	0.004468
1.07	0.0522465	0.00445585
1.08	0.0514617	0.00444327
1.09	0.0506669	0.00443091
1.1	0.0498749	0.00441808
1.11	0.0490733	0.00440552
1.12	0.0482745	0.00439246
1.13	0.0474665	0.00437971
1.14	0.0466613	0.00436643
1.15	0.0458472	0.0043535
1.16	0.0450359	0.00434
1.17	0.044216	0.0043269
1.18	0.043399	0.0043132
1.19	0.0425737	0.00429993
1.2	0.0417512	0.00428604
1.21	0.040921	0.00427262
1.22	0.0400934	0.00425855
1.23	0.0392585	0.00424499
1.24	0.0384263	0.00423075
1.25	0.037587	0.00421706
1.26	0.0367504	0.00420266
1.27	0.0359071	0.00418884
1.28	0.0350665	0.0041743
1.29	0.0342196	0.00416037
1.3	0.0333754	0.00414569
1.31	0.0325252	0.00413167
1.32	0.0316777	0.00411687
1.33	0.0308246	0.00410275
1.34	0.0299742	0.00408784
1.35	0.0291185	0.00407365
1.36	0.0282654	0.00405864
1.37	0.0274075	0.00404438
1.38	0.0265522	0.00402928
1.39	0.0256925	0.00401497
1.4	0.0248353	0.0039998
1.41	0.023974	0.00398544
1.42	0.0231153	0.00397021
1.43	0.0222528	0.00395582
1.44	0.0213929	0.00394054
1.45	0.0205297	0.00392613
1.46	0.0196688	0.00391082
1.47	0.0188052	0.00389639
1.48	0.0179438	0.00388106
1.49	0.01708	0.00386664
1.5	0.0162185	0.00385129
1.51	0.015355	0.00383688
1.52	0.0144937	0.00382154
1.53	0.0136307	0.00380715
1.54	0.0127699	0.00379182
1.55	0.0119078	0.00377747
1.56	0.0110479	0.00376217
1.57	0.0101871	0.00374786
1.58	0.00932837	0.0037326
1.59	0.00846916	0.00371835
1.6	0.00761199	0.00370314
1.61	0.00675472	0.00368895
1.62	0.00589941	0.00367381
1.63	0.00504442	0.0036597
1.64	0.00419132	0.00364464
1.65	0.00333893	0.00363061
1.66	0.00248837	0.00361564
1.67	0.00163892	0.00360171
1.68	0.000791229	0.00358684
1.69	-5.49578e-05	0.00357302
1.7	-0.000899455	0.00355825
1.71	-0.00174205	0.00354455
1.72	-0.00258303	0.00352991
1.73	-0.00342171	0.00351634
1.74	-0.00425886	0.00350183
1.75	-0.0050933	0.00348839
1.76	-0.00592629	0.00347403
1.77	-0.00675618	0.00346074
1.78	-0.0075847	0.00344653
1.79	-0.00840973	0.00343339
1.8	-0.00923347	0.00341935
1.81	-0.0100533	0.00340637
1.82	-0.010872	0.00339251
1.83	-0.0116863	0.0033797
1.84	-0.0124996	0.00336602
1.85	-0.0133082	0.00335339
1.86	-0.0141157	0.00333991
1.87	-0.0149182	0.00332746
1.88	-0.0157197	0.00331418
1.89	-0.0165158	0.00330193
1.9	-0.0173111	0.00328886
1.91	-0.0181005	0.00327681
1.92	-0.0188892	0.00326397
1.93	-0.0196717	0.00325212
1.94	-0.0204535	0.0032395
1.95	-0.0212287	0.00322787
1.96	-0.0220033	0.00321549
1.97	-0.022771	0.00320408
1.98	-0.0235382	0.00319194
1.99	-0.024298	0.00318075
2	-0.0250576	0.00316886
2.01	-0.0258093	0.0031579
2.02	-0.0265608	0.00314627
2.03	-0.0273043	0.00313555
2.04	-0.0280475	0.00312418
2.05	-0.0287823	0.00311369
2.06	-0.0295171	0.00310259
2.07	-0.030243	0.00309235
2.08	-0.030969	0.00308152
2.09	-0.0316858	0.00307152
2.1	-0.0324027	0.00306097
2.11	-0.0331101	0.00305123
2.12	-0.0338178	0.00304095
2.13	-0.0345156	0.00303146
2.14	-0.0352138	0.00302147
2.15	-0.0359016	0.00301224
2.16	-0.0365901	0.00300254
2.17	-0.0372678	0.00299357
2.18	-0.0379463	0.00298416
2.19	-0.0386137	0.00297544
2.2	-0.0392819	0.00296633
2.21	-0.0399388	0.00295787
2.22	-0.0405965	0.00294905
2.23	-0.0412426	0.00294086
2.24	-0.0418897	0.00293234
2.25	-0.0425248	0.00292441
2.26	-0.043161	0.00291619
