t	Theta RK	Energy 
0.01	0.099995	0.005
0.02	0.09998	0.00499999
0.03	0.0999551	0.00499998
0.04	0.0999202	0.00499996
0.05	0.0998754	0.00499992
0.06	0.0998208	0.00499986
0.07	0.0997562	0.00499977
0.08	0.0996819	0.00499966
0.09	0.0995977	0.00499952
0.1	0.0995037	0.00499934
0.11	0.0994	0.00499913
0.12	0.0992866	0.00499887
0.13	0.0991635	0.00499857
0.14	0.0990307	0.00499822
0.15	0.0988882	0.00499781
0.16	0.0987362	0.00499735
0.17	0.0985747	0.00499683
0.18	0.0984036	0.00499624
0.19	0.098223	0.00499559
0.2	0.098033	0.00499486
0.21	0.0978335	0.00499407
0.22	0.0976247	0.0049932
0.23	0.0974065	0.00499224
0.24	0.0971791	0.00499121
0.25	0.0969424	0.00499009
0.26	0.0966964	0.00498888
0.27	0.0964414	0.00498758
0.28	0.0961771	0.00498618
0.29	0.0959038	0.00498469
0.3	0.0956215	0.00498309
0.31	0.0953302	0.0049814
0.32	0.0950299	0.00497959
0.33	0.0947208	0.00497768
0.34	0.0944028	0.00497566
0.35	0.094076	0.00497352
0.36	0.0937405	0.00497127
0.37	0.0933962	0.0049689
0.38	0.0930434	0.00496641
0.39	0.0926819	0.0049638
0.4	0.0923119	0.00496106
0.41	0.0919334	0.00495819
0.42	0.0915465	0.0049552
0.43	0.0911512	0.00495207
0.44	0.0907476	0.00494882
0.45	0.0903358	0.00494542
0.46	0.0899157	0.00494189
0.47	0.0894875	0.00493823
0.48	0.0890512	0.00493442
0.49	0.0886069	0.00493047
0.5	0.0881546	0.00492638
0.51	0.0876945	0.00492215
0.52	0.0872264	0.00491776
0.53	0.0867506	0.00491324
0.54	0.0862671	0.00490856
0.55	0.085776	0.00490374
0.56	0.0852772	0.00489876
0.57	0.0847709	0.00489363
0.58	0.0842572	0.00488836
0.59	0.0837361	0.00488292
0.6	0.0832076	0.00487734
0.61	0.0826719	0.0048716
0.62	0.082129	0.00486571
0.63	0.081579	0.00485965
0.64	0.081022	0.00485345
0.65	0.0804579	0.00484709
0.66	0.079887	0.00484057
0.67	0.0793092	0.00483389
0.68	0.0787246	0.00482705
0.69	0.0781333	0.00482006
0.7	0.0775355	0.00481291
0.71	0.076931	0.00480561
0.72	0.0763201	0.00479814
0.73	0.0757028	0.00479052
0.74	0.0750791	0.00478274
0.75	0.0744492	0.00477481
0.76	0.0738132	0.00476671
0.77	0.073171	0.00475847
0.78	0.0725228	0.00475006
0.79	0.0718686	0.0047415
0.8	0.0712086	0.00473279
0.81	0.0705428	0.00472392
0.82	0.0698712	0.0047149
0.83	0.069194	0.00470573
0.84	0.0685113	0.00469641
0.85	0.0678231	0.00468694
0.86	0.0671294	0.00467731
0.87	0.0664305	0.00466754
0.88	0.0657263	0.00465763
0.89	0.065017	0.00464756
0.9	0.0643026	0.00463736
0.91	0.0635832	0.004627
0.92	0.0628588	0.00461651
0.93	0.0621297	0.00460588
0.94	0.0613957	0.00459511
0.95	0.0606572	0.0045842
0.96	0.059914	0.00457315
0.97	0.0591663	0.00456197
0.98	0.0584143	0.00455066
0.99	0.0576579	0.00453921
1	0.0568972	0.00452764
1.01	0.0561324	0.00451594
1.02	0.0553635	0.00450412
1.03	0.0545906	0.00449217
1.04	0.0538137	0.0044801
1.05	0.0530331	0.00446791
1.06	0.0522487	0.00445561
1.07	0.0514607	0.00444319
1.08	0.0506691	0.00443066
1.09	0.0498741	0.00441801
1.1	0.0490756	0.00440526
1.11	0.0482738	0.00439241
1.12	0.0474688	0.00437945
1.13	0.0466607	0.00436639
1.14	0.0458495	0.00435323
1.15	0.0450354	0.00433997
1.16	0.0442184	0.00432662
1.17	0.0433986	0.00431318
1.18	0.0425761	0.00429965
1.19	0.041751	0.00428603
1.2	0.0409234	0.00427233
1.21	0.0400934	0.00425855
1.22	0.039261	0.0042447
1.23	0.0384263	0.00423076
1.24	0.0375895	0.00421676
1.25	0.0367506	0.00420268
1.26	0.0359096	0.00418854
1.27	0.0350668	0.00417433
1.28	0.0342222	0.00416006
1.29	0.0333758	0.00414574
1.3	0.0325278	0.00413135
1.31	0.0316782	0.00411692
1.32	0.0308272	0.00410243
1.33	0.0299748	0.0040879
1.34	0.0291211	0.00407333
1.35	0.0282662	0.00405871
1.36	0.0274102	0.00404405
1.37	0.0265531	0.00402936
1.38	0.0256951	0.00401464
1.39	0.0248363	0.00399989
1.4	0.0239767	0.00398511
1.41	0.0231164	0.00397031
1.42	0.0222555	0.00395548
1.43	0.0213941	0.00394065
1.44	0.0205323	0.00392579
1.45	0.0196702	0.00391093
1.46	0.0188079	0.00389605
1.47	0.0179453	0.00388117
1.48	0.0170827	0.00386629
1.49	0.0162202	0.00385141
1.5	0.0153577	0.00383653
1.51	0.0144954	0.00382166
1.52	0.0136334	0.0038068
1.53	0.0127717	0.00379195
1.54	0.0119105	0.00377712
1.55	0.0110499	0.00376231
1.56	0.0101898	0.00374751
1.57	0.00933046	0.00373274
1.58	0.00847189	0.003718
1.59	0.00761418	0.00370329
1.6	0.00675744	0.00368861
1.61	0.00590172	0.00367396
1.62	0.00504713	0.00365935
1.63	0.00419374	0.00364479
1.64	0.00334164	0.00363027
1.65	0.00249091	0.00361579
1.66	0.00164162	0.00360137
1.67	0.000793872	0.00358699
1.68	-5.22636e-05	0.00357267
1.69	-0.000896704	0.00355841
1.7	-0.00173937	0.00354421
1.71	-0.00258017	0.00353007
1.72	-0.00341904	0.003516
1.73	-0.00425589	0.00350199
1.74	-0.00509064	0.00348805
1.75	-0.00592322	0.00347419
1.76	-0.00675354	0.0034604
1.77	-0.00758153	0.00344669
1.78	-0.00840711	0.00343306
1.79	-0.00923019	0.00341951
1.8	-0.0100507	0.00340605
1.81	-0.0108686	0.00339267
1.82	-0.0116837	0.00337938
1.83	-0.0124961	0.00336618
1.84	-0.0133056	0.00335307
1.85	-0.0141121	0.00334006
1.86	-0.0149157	0.00332715
1.87	-0.0157161	0.00331434
1.88	-0.0165133	0.00330162
1.89	-0.0173074	0.00328901
1.9	-0.0180981	0.00327651
1.91	-0.0188854	0.00326411
1.92	-0.0196692	0.00325182
1.93	-0.0204495	0.00323965
1.94	-0.0212263	0.00322758
